Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Poster,Description
The Love in Your Eyes (TV series),N/A,Na Seung-hyun,Go Young-tak,"Baek Sung-hyun
Bae Noo-ri
Choi Yoon-ra
Jung Soo-hwan","Melodrama
Romance
Family",KBS1,123,"October 3, 2022 –
March 24, 2023",N/A,"Lee Young-yi, who lost her husband at a young age, moves on with her new one's family and works daily for her daughter. She dreams to go beyond working part-time at a convenience store and become a full-time employee at the head office. Meanwhile, Jang Kyung-joon, the eldest grandson of TS Retail, underwent a corneal transplant five years ago with a donation from Young-yi's late husband and gained a new vision and a new life. The series revolves around the romantic adventures of Young-yi and her second love, Kyung-joon, who has the eyes of her late husband."
Dong Yi (TV series),N/A,Kim Yi-young,"Lee Byung-hoon
Kim Sang-hyub","Han Hyo-joo
Ji Jin-hee
Lee So-yeon
Bae Soo-bin
Park Ha-sun
Jung Jin-young","Historical
Romance",MBC TV,60,"22 March –
12 October 2010",N/A,"Set during the reign ofKing Sukjongin theJoseonperiod, the series is based on real-life historical figureChoe Suk-bin."
Giant (TV series),N/A,"Jang Young-chul
Jung Kyung-soon","Yoo In-shik
Lee Chang-min","Lee Beom-soo
Park Jin-hee
Joo Sang-wook
Hwang Jung-eum
Park Sang-min
Jeong Bo-seok
Lee Moon-sik",Period drama,SBS TV,60,"May 10 –
December 7, 2010",N/A,"The plot revolves around the lives of the three Lee children: Kang-mo (Lee Beom-soo), Sung-mo (Park Sang-min), and Mi-joo (Hwang Jung-eum). One day, Kang-mo overheard that a group of dock workers wanted to entitle his father to rob the gold bars he transports. Kang-mo reported this to his father, Lee and his father reported to Jo Pil-yeon (Jeong Bo-seok), a KCIA official. However, Pil-yeon conspired with Hwang Tae-seobLee Deok-hwa), Lee's best friend to rob the gold truck and killed Lee, which Tae-seob reluctantly agreed since he needed the money for his construction project. During the robbery, Tae-seob unable to bring himself to kill his best friend and told him to run with his family to Seoul but Pil-yeon killed Lee and Sung-Mo witnessed his father demise. To tie off loose end, Pil-yeon and his men decided to murder Sung-mo's entire family, forcing the family to be on the run. The mother of the siblings revealed that before their father died, he had bought a property in Seoul for them to stay. Sung-mo is separated during their escape to Seoul after he distracted Pil-yeon man in a train. He is then winded up in a US military base and becomes the choir boy. During a stay at the inn their mother dies in an heating accident. Kang-mo and Mi-joo was separated when they are in Seoul. Eventually, Kang-mo is forced to work as a shoeshine boy to make end meet and encountered Tae-seob by chance."
Jeong Do-jeon (TV series),N/A,Jung Hyun-min,"Kang Byung-taek
Lee Jae-hoon","Cho Jae-hyun
Yoo Dong-geun
Seo In-seok
Park Yeong-gyu
Im Ho
Ahn Jae-mo","Period drama
Political",KBS1,50,"January 4 –
June 29, 2014",N/A,"The drama begins in 1374, the final year ofKing GongminofGoryeo. Those times were marked by abuse of power, corruption and political chaos, as government officials and scholars dream of a new dynasty and a new era."
Living Among the Rich,Live in Cheongdam-dong[1],Park Hae-young,"Kim Seok-yoon
Lim Hyun-wook
Lee Sang-mi","Kim Hye-ja
Oh Ji-eun
Hyun Woo
Lee Sang-yeob
Lee Bo-hee",Sitcom,JTBC,170,"December 5, 2011 –
August 3, 2012",N/A,"The story revolves around Kim Hye-ja (Kim Hye-ja) and her daughter Oh Ji-eun (Oh Ji-eun) after they move to the luxurious neighborhood ofCheongdam-dong, inSeoul, after living in the suburbs for years. Their new building turns out to be completely different from their expectations."
The Scandal (TV series),"Scandal
Scandal: A Shocking and Wrongful Incident",Bae Yoo-mi,"Kim Jin-man
Park Jae-beom","Kim Jaewon
Jo Yoon-hee
Cho Jae-hyun
Park Sang-min
Shin Eun-kyung
Ki Tae-young","Melodrama
Family
Revenge
Crime",MBC,36,"June 29 –
October 27, 2013",N/A,"Detective Ha Eun-joong uncovers a shocking secret: Ha Myung-geun, the man he believed to be his father, had actually kidnapped him as a child. Myung-geun had lost his own son in a building collapse and, as revenge against Jang Tae-ha—the man responsible for the tragedy—he abducted Tae-ha's son and raised him as his own. In the aftermath of his revenge, Eun-joong searches for the truth and becomes caught between his two fathers and the woman he loves, Woo Ah-mi.[7]"
My Secret Romance,N/A,"Kim Ha-na
Kim Young-yoon",Kang Cheol-woo,"Sung Hoon
Song Ji-eun
Kim Jae-young
Jung Da-sol","Romance
Comedy",OCN,"13 (original broadcast)
14 (Japanese DVD compilation and oversees version)","April 17 –
May 30, 2017",N/A,"Jin-wook and Yoo-mi meet at a Gangwon-do resort and get caught up in a series of misunderstandings and accidents. Yoo-mi is there to attend her mother's second wedding while Jin-wook is there working as a bellhop (a position given to him by his Chairman father to teach him responsibility). Yoo-mi is charmed by Jin-wook's sly and playful personality, and they unexpectedly spend the night together on the beach. However, Yoo-mi disappears in the morning, leaving Jin-wook feeling perplexed and insulted."
Women in the Sun,"Women of the Sun
Sisters in Love",Kim In-young,Bae Kyung-soo,"Kim Ji-soo
Lee Ha-na
Han Jae-suk
Jung Gyu-woon","Romance, Melodrama",KBS2,20,"May 28 –
July 31, 2008",N/A,"Shin Do-young is a popular TVnews anchorwho seemingly has it all: good looks and brains, a cushy job and a privileged upbringing. But Do-young has a deep, dark secret. She was abandoned at an orphanage at a young age, but wasadoptedby a nice, well-off couple who were unable to have children of their own. But to the couple's surprise, they conceived a few years after Do-young's adoption, which led to the birth of their biological daughter, Ji-young. Afraid of losing the love of her adoptive parents, the teenage Do-young abandoned her five-year-old sister at a train station."
The Rebel (South Korean TV series),N/A,Hwang Jin-young,Kim Jin-man,"Kim Sang-joong
Yoon Kyun-sang
Chae Soo-bin
Kim Ji-suk
Lee Hanee","Historical
Melodrama
Romance",MBC TV,30,"January 30 –
May 16, 2017",N/A,"Set during the reign of famous tyrantYeonsangun, it tells the story ofHong Gil-dong, the son of aslavewho stole from the rich and gave to the poor, and his journey in becomingJoseon's first revolutionary."
Exo Next Door,"Exo Lives Next Door
Exo Lives Next Door to My House","Shin Yeon-joo
Hwang Ji-eon",Lee Kwon,"Exo
Moon Ka-young",Web series,"Naver TV Cast
JTBC2 [ko; zh]",16,"April 9 –
May 28, 2015",N/A,"Ji Yeon-hee (Moon Ka-young) is an extremely shy, introverted 23-year-old woman with zero dating experience and a tendency to blush when talking to someone she likes. One day, four young men move into the house right next door to Yeon-hee's home, and to her surprise, they turn out to be Chanyeol (Park Chanyeol), D.O. (Doh Kyung-soo), Baekhyun (Byun Baekhyun), and Sehun (Oh Sehun) from her favorite boy bandExo, who are looking to lie low for a while. They hire her to clean their house part-time during the winter vacation, and that's when Yeon-hee finds out that Chanyeol is her long lost childhood friend and crush ""Chan"", and that he is the grandson of the owner of the house. As the story goes on, Yeon-hee becomes involved in a love triangle with Chanyeol and D.O.[4]"
Alone in Love,N/A,Park Yeon-seon,Han Ji-seung,"Kam Woo-sung
Son Ye-jin
Gong Hyung-jin
Lee Ha-na","Romance
Melodrama",SBS TV,16,"April 3 –
May 23, 2006",N/A,"Yoo Eun-ho (Son Ye-jin) and Lee Dong-jin (Kam Woo-sung) meet one day at the bookstore where Dong-jin works, and are immediately drawn to each other. They fall in love after subsequent meetings, and eventually marry. Two years later, they divorce."
Destined With You,N/A,Noh Ji-sul[2],Nam Ki-hoon[2],"Jo Bo-ah
Rowoon
Ha Jun
Yura","Fantasy[1]
Romance[1]",JTBC,16,"August 23 –
October 12, 2023",N/A,"Destined With Youtells the story about an irresistible romance between Lee Hong-jo (Jo Bo-ah) and Jang Shin-yu (Rowoon) with the storyline revolving around a forbidden book that was thoroughly sealed 300 years ago, landing in the hands of Hong-jo after obtaining it with Shin-yu becoming the victim of the forbidden book due to the curse caused by the book."
Look Back in Anger (TV series),"Turn Your Angry Face
Youth in an Angry Face",Kim Young-chan,"Lee Min-hong
Lee Won-ik","Joo Jin-mo
Park Jin-hee
Lee Min-woo","Action
Drama",Korean Broadcasting System,18,"28 February –
18 April 2000",N/A,"Look Back in Anger (Korean: 성난 얼굴로 돌아보라; RR: Seongnan eolgullo dorabora) is a 2000 South Korean television series about two brothers' love for two women that aired on KBS2. Starring Joo Jin-mo, Lee Min-woo, Park Jin-hee and Bae Doona, the cast also includes the following actors pre-stardom: Kim Myung-min, Uhm Tae-woong, Kim Min-hee and Lee Eun-ju.[1]"
Joseon X-Files,"Secret Investigation Records
Joseon X-Files: Secret Book","Kim Nam
Kim Jung-hee
Ha Won-gi
Lee Dong-gyu
Hong Seung-yeon
Ham Chang-seok
Park Doo-il","Kim Heung-dong
Kang Kyung-hoon","Kim Ji-hoon
Im Jung-eun
Kim Kap-soo
Jo Hee-bong","Period drama
Mystery
Science fiction
Drama",tvN,12,"20 August –
29 October 2010",N/A,Mysterious incidents are recorded in theAnnals of the Joseon Dynastythat cannot be explained through science.
Love Alert,N/A,Kim Shin-hye,Jo Chang-wan,"Yoon Eun-hye
Chun Jung-myung",Romantic comedy,MBN,16,"October 31 –
December 20, 2018",N/A,The series is about a celibate doctor named Cha Woo-hyun (Chun Jung-myung) who gets involved in a scandal with top actress Yoon Yoo-jung (Yoon Eun-hye) for inexplicable reasons. The two sign a contract where they have to pretend to be in love to achieve their mutual goals.
Anniversary Anyway,N/A,N/A,N/A,"Hongseok
Nayun
Gyujin
Minseo
Jaesuk Lee
Park Ji-ye",Drama,Naver V (V Live),14,"May 21 –
July 5, 2019",N/A,
Korea–Khitan War,N/A,"Gil Seung-soo[2]
Lee Jung-woo[3]","Jeon Woo-sung[3]
Kim Han-sol[3]","Kim Dong-jun
Choi Soo-jong
Ji Seung-hyun","Sageuk[1]
War drama[1]
Action[1]",KBS2,32,"November 11, 2023 –
March 10, 2024",N/A,"The series tells the story ofKing Hyeonjong of Goryeo(Kim Dong-jun) unitingGoryeounder his tolerant leadership by leading thewar against the Khitansto victory, together withGang Gam-chan(Choi Soo-jong), the King's political mentor and the commander-in-chief of the Goryeo army."
Bad Papa,N/A,Kim Sung-min,Jin Chang-gyu,"Jang Hyuk
Son Yeo-eun
Shin Eun-soo","Family
Drama
Sport",MBC TV,32[a],"October 1 –
November 27, 2018",N/A,"Ji-cheol is an incompetent husband and dad. He was a detective who got suspended for allegedly taking a bribe. He can't come up with their living expenses, let alone the rent. On top of that, his daughter gets into trouble and he has to come up with the settlement money. Cornered, Ji-cheol makes a dangerous decision. Having been a boxing champion in the past, he decides to participate in an illegal boxing match and take the prize money.[3]"
The Duo,Mate,Kim Woon-kyung,Im Tae-woo,"Chun Jung-myung
Lee Sang-yoon
Han Ji-hye
Seo Hyun-jin","Historical
Romance
Comedy
Action",Munhwa Broadcasting Corporation,32,"February 7 –
May 24, 2011",N/A,"Around the time of lateJoseon dynasty(1392–1910) when hierarchy between nobles and slaves started to fall apart and riots were common among peasants, two men were born on the same day and at the same time. Chun Dung who grew up in a beggar's quarters (although born as a noble) with no knowledge of his parents, dreams of ""making this world a better place"" by taking part in the peasants' riot while Gwi Dong who was raised in a noble life (though he was born as a beggar), serves as a police official, fights against corruption within the government and speaks for the weak. Although both give their hearts to the same woman, they become the greatest duo ever in order to reform the problematic world.[2]"
Say It with Your Eyes,"In Your Eyes
Speak With Your Eyes
Say With Your Eyes","Oh Young-sook
Min Hyo Jung",Go Dong-sun,"Kam Woo-sung
Go Soo
Jeon Hye-jin
Kim Sung-kyum",Romance,MBC,54,"March 19, 2000 –
March 25, 2001",N/A,"Say It With Your Eyes(Korean:눈으로 말해요) is a South Korean television drama produced and broadcast byMBCfrom March 19, 2000, to March 25, 2001.[1][2]"
Rooftop Prince,Attic Prince,Lee Hee-myung,Shin Yoon-sub,"Park Yoo-chun
Han Ji-min
Jeong Yu-mi
Lee Tae-sung
Jung Suk-won
Choi Woo-shik
Lee Tae-ri
Lee Moon-sik","Romance
Comedy
Drama
Time travel",Seoul Broadcasting System,20,"21 March –
24 May 2012",N/A,"Yong Tae-mu (Lee Tae-sung), after killing his lost cousin in the United States, returns to Korea, claiming that hiscousin, Yong Tae-yong (Park Yoochun), could not be found inNew York City. Meanwhile, Tae-mu has been having a secretaffairwith Hong Se-na (Jeong Yu-mi), his secretary, who, in turn, runs into her long-loststepsisterPark-ha (Han Ji-min). Park-ha has been missing for a prolonged period of time and it is revealed that she was in the US after Se-na abandoned her in a truck driving away when she was nine."
Dear Hyeri,N/A,Han Ga-ram,"Jung Ji-hyun [ko]
Heo Seok-won","Shin Hye-sun
Lee Jin-wook
Kang Hoon
Jo Hye-joo
Kang Sang-joon [ko]","Romance
Psychological drama
Workplace","Genie TV
ENA",12,"September 23 –
October 29, 2024",N/A,"Announcer Joo Eun-ho develops a new personality due to a deep emotional wound. Her ex-boyfriend Jung Hyun-oh, on the other hand, has kept his emotional wounds tightly hidden."
Scent of a Woman (TV series),N/A,Noh Ji-seol,Park Hyung-ki,"Kim Sun-a
Lee Dong-wook
Um Ki-joon
Seo Hyo-rim","Romance, Drama",SBS TV,16,"23 July –
11 September 2011",N/A,"As a single, unmarried woman in her mid-thirties, Lee Yeon-jae (Kim Sun-a) is meek and timid, considered a spinster by society.  After spending ten years working for the same travel company owned by Kang Chul-man, she is falsely accused of stealing from a client. In addition to enduring the accusations of her superiors, she is diagnosed withgallbladder cancerwith approximately six months left to live. Mustering up her courage, Yeon-jae resigns and embraces her remaining six months of life."
A Sea of Her Own,N/A,"Kim Mi-Jung
Lee Jung-Dae",Han Chul-Kyung,"Oh Seung-ah
Kim Joo-yong [ko]
Han Yoo-yi [ko]
Choi Sung-jae","Period drama
Family",KBS,120,"February 27 –
August 11, 2017",N/A,"A Sea of Her Own (Korean: TV소설 그 여자의 바다; lit. TV Novel: Sea of the Woman) is a 2017 South Korea morning soap opera starring Oh Seung-ah, Kim Joo-yong [ko], Han Yoo-yi [ko] and Choi Sung-jae.[1][unreliable source?] It aired on KBS2 from February 27, 2017 on Mondays to Fridays at 09:00 for 120 episodes."
The Secret of Birth,"Birth Secret
Secrets about Your Birth",Kim Kyu-wan,"Kim Jong-hyuk
Ju Dong-min","Sung Yu-ri
Yoo Jun-sang",Romance,Seoul Broadcasting System,18,"27 April –
23 June 2013",N/A,"Jung Yi-hyun is a genius, but she suffers frompsychogenic amnesiaand does not remember her husband and young daughter. Hong Gyung-doo is uneducated and poor, but he's a loving father to young Hae-deum, who's inherited her genius from her mother. Yi-hyun and Gyung-doo met just as both were on the brink of suicide, and they'd decided to choose life together. The drama is about Yi-hyun's journey to putting together the pieces of her lost memory with her husband's help, a man who seems completely unsuited for her. The story explores the relationship from the viewpoint of both parties."
Power Rangers Dino Force Brave,Zyuden Sentai Kyoryuger Brave,Kento Shimoyama[5],Koichi Sakamoto[3][4],"Kim Se-yong
Oh Se-hyeon
Hong Sung-ho
Injun
Lee Yu-jin
Lee Se-young
[3][4]","Tokusatsu
Superhero fiction",N/A,12[1][2],"April 1 –
June 23, 2017",N/A,"Peace returns to Earth after the Power Rangers Dino Force (Kyoryugers) destroyed the Deboth Army, but a new enemy known as the Neo Deboth Army emerges to seek out revenge against the Earth Power Dinos (Zyudenryu) while obtaining ""the Power of Dragon King"" to conquer the planet. Sensing their presence, yet unable to fight them due to his Spirit state, Torin saves Canderrilla and Luckyulo from being sealed with Bragigas as the three recruit a ""People of the Strong Dragons"" to combat the new threat.[8]"
Good Casting,N/A,Park Ji-ha,Choi Young-hoon,"Choi Kang-hee
Yoo In-young
Kim Ji-young
Lee Sang-yeob
Lee Jun-young
Lee Jong-hyuk","Action
Comedy",SBS TV,16,"April 27 –
June 16, 2020",N/A,"Legendary espionage agents give girl power a whole new meaning in this thrilling action comedy. Once part of South Korea's top secret National Intelligence Service, a group of talented female agents are reassigned to go undercover in a case involving corruption and leaked trade secrets at the country's largest conglomerate. After several mistakes during important missions, Baek Chan Mi (Choi Kang Hee) was reassigned to the cybersecurity team, but dreams of returning to her former role. Hwang Mi Soon has left agent life behind and became a full-time homemaker. Meanwhile, Lim Ye Eun, a smart single mom and desk agent dreams of being promoted to an undercover spymaster working in the field. Their lives collide when Don Kwan Soo, a longtime director in the NIS, recruits all three for a do or die mission.[4]"
Gyebaek (TV series),"Gyebaek, Warrior's Fate[1]",Kim Geun-hong,Jung Hyung-soo,"Lee Seo-jin
Cho Jae-hyun
Song Ji-hyo
Oh Yeon-soo","Historical
Action",Munhwa Broadcasting Corporation,36,"July 25 –
November 22, 2011",N/A,"Set in theBaekjekingdom in the mid-7th century, the drama chronicles the life and times of the storied warrior great GeneralGyebaekwho is remembered in history for leading Baekje's last stand against theSillain theBattle of Hwangsanbeol. Gyebaek dies at the final battle with Silla kingdom."
Born Again (TV series),N/A,Jung Soo-mi,Jin Hyung-wook,"Jang Ki-yong
Jin Se-yeon
Lee Soo-hyuk","Mystery
Melodrama",KBS2,32[a],"April 20 –
June 9, 2020",N/A,Born Againtells the story of three reincarnated souls that have been intertwined together by fate.[6]
Iris (South Korean TV series),N/A,"Choi Wan-kyu
Kim Hyun-jun
Jo Gyu-won
Kim Jae-un","Kim Kyu-tae
Yang Yun-ho
Kim Tae-hun
Pyo Min-soo","Lee Byung-hun
Kim Tae-hee
Jung Joon-ho
Kim Seung-woo
Kim So-yeon
Choi Seung-hyun","Action
Espionage
Romance
Thriller",KBS2,20,"October 14 –
December 17, 2009",N/A,"Two best friends who are so close that they are like brothers, Kim Hyun-jun (Lee Byung-hun) and Jin Sa-woo (Jung Joon-ho), train under theRepublic of Korea Army's707th Special Mission Groupuntil they are scouted by NSS (National Security Service). The two were independently scouted by the beautiful NSS agent, Choi Seung-hee (Kim Tae-hee). Unaware they have been scouted, the two are secretly captured and subjected to a simulated torture test. Both pass the test and are deemed qualified to become NSS agents. In the process, they both fall in love with Seung-hee, who has kept the scouting process a secret from them."
Insider (South Korean TV series),N/A,Moon Man-se[3],Min Yeon-hong[3],"Kang Ha-neul
Lee Yoo-young
Heo Sung-tae","Action[1]
Suspense thriller[2]",JTBC,16[5],"June 8 –
July 28, 2022",N/A,"The series revolves around a judicial trainee whose life turns upside down when he goes on an undercover investigation, and ends up struggling to try to recover his normal life.[1][2]"
"No, Thank You",N/A,N/A,Lee Kwang-young,"Park Ha-sun
Kwon Yul
Moon Hee-kyung",Drama,KakaoTV,12,"November 21, 2020 –
February 6, 2021",N/A,"No, Thank Youtells the story of Min Sa-rin, a daughter-in-law who tries to live through South Korea's patriarchal society and do what is expected of her from her in-laws."
I Can Hear Your Voice,I Hear Your Voice,Park Hye-ryun,Jo Soo-won,"Lee Bo-young
Lee Jong-suk
Yoon Sang-hyun
Lee Da-hee","Legal drama
Romance
Fantasy
Comedy",SBS TV,18,"June 5 –
August 1, 2013",N/A,"After overcoming a difficult childhood, Jang Hye-sung (Lee Bo-young) becomes apublic defender, but she is pragmatic, self-preserving, and jaded. Her life changes when she encounters Park Soo-ha (Lee Jong-suk), a high school senior with the supernatural ability to read other people's thoughts by looking into their eyes. Soo-ha gained his mind-reading ability when witnessing his father getting murdered ten years previously. His father's death had initially been dismissed as a car accident until Hye-sung, then a high school girl (Kim So-hyun), gave a decisive testimony in court despite the killer's threats (Jung Woong-in). Soo-ha has been searching for her ever since. As Hye-sung works with Soo-ha and a cop-turned-lawyer Gwan-woo (Yoon Sang-hyun), she gradually lets go of her pursuit of money and glory. Together, the unlikely team uses unconventional methods to solve their cases.[5][6]"
Children of a Lesser God (TV series),N/A,Han Woo-ri,Kang Shin-hyo,"Kang Ji-hwan
Kim Ok-vin
Sim Hee-seop","Mystery
Horror
Thriller
Drama",OCN,16,"March 3 –
April 22, 2018",N/A,The story of two detectives who work together to unravel the corruption behind a tragedy that happens within a powerful organization.[4][5]
The Spies Who Loved Me,The Spy Who Loves Me,Lee Ji-min,Lee Jae-jin,"Eric Mun
Yoo In-na
Lim Ju-hwan","Action
Romance
Comedy",MBC TV,16,"October 21 –
December 17, 2020",N/A,"Kang Ah-Reum is a wedding dress designer who has been married twice. Her ex happens to be an undercoverInterpolagent, while her current husband is anindustrial spy. After a close friend is murdered for her involvement in the well-known EcoSun project, Ah-Reum seeks the help of Ji-Hoon and his team in finding out the truth, along the way uncovering dark and shocking secrets about those closest to her."
Junwoo,Comrades,"Lee Sang-hyeon
Kim Dong-hyeon","Jang Hyeong-il
Ju Dae-seong","Ra Si-chan
Jang Hang-sun
Heo Young","War, Drama",Korean Broadcasting System,N/A,"28 June 1975 –
8 April 1978",N/A,"Junwoo (Korean: 전우; Hanja: 戰友; RR: Jeonu; lit. 'Comrades') is a South Korean television series about the Korean War that was broadcast on KBS from 1975 to 1978.[1][unreliable source?] Its first remake aired from 1983 to 1984. Its second remake, Legend of the Patriots, aired in 2010.[2]"
Pump Up the Healthy Love,24-Hour Health Club,Kim Ji-soo[1],"Park Jun-soo[1]
Choi Yeon-soo[1]","Lee Jun-young
Jung Eun-ji",Romantic comedy[1],KBS2,12,"April 30 –
June 5, 2025",N/A,"A romantic comedy-drama about a fitness-obsessed gym owner who lives by the motto ""It all begins and ends with muscle"" who meets a woman just starting her own fitness journey."
